package,licence_source,licence
github.com/Azure/go-ntlmssp,https://github.com/Azure/go-ntlmssp/blob/v0.1.1/LICENSE,MIT
github.com/beorn7/perks/quantile,https://github.com/beorn7/perks/blob/v1.0.1/LICENSE,MIT
github.com/blang/semver,https://github.com/blang/semver/blob/v3.5.1/LICENSE,MIT
github.com/blang/semver/v4,https://github.com/blang/semver/blob/v4.0.0/v4/LICENSE,MIT
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash/blob/v2.3.0/LICENSE.txt,MIT
github.com/cilium/ebpf,https://github.com/cilium/ebpf/blob/v0.22.0/LICENSE,MIT
github.com/cloudflare/cbpfc,https://github.com/cloudflare/cbpfc/blob/ff978e94500b/LICENSE,BSD-3-Clause
github.com/containerd/containerd,https://github.com/containerd/containerd/blob/v1.7.33/LICENSE,Apache-2.0
github.com/containerd/containerd/api,https://github.com/containerd/containerd/blob/api/v1.8.0/api/LICENSE,Apache-2.0
github.com/containerd/continuity,https://github.com/containerd/continuity/blob/v0.4.4/LICENSE,Apache-2.0
github.com/containerd/errdefs,https://github.com/containerd/errdefs/blob/v1.0.0/LICENSE,Apache-2.0
github.com/containerd/errdefs/pkg,https://github.com/containerd/errdefs/blob/pkg/v0.3.0/pkg/LICENSE,Apache-2.0
github.com/containerd/fifo,https://github.com/containerd/fifo/blob/v1.1.0/LICENSE,Apache-2.0
github.com/containerd/log,https://github.com/containerd/log/blob/v0.1.0/LICENSE,Apache-2.0
github.com/containerd/platforms,https://github.com/containerd/platforms/blob/v0.2.1/LICENSE,Apache-2.0
github.com/containerd/ttrpc,https://github.com/containerd/ttrpc/blob/v1.2.7/LICENSE,Apache-2.0
github.com/containerd/typeurl/v2,https://github.com/containerd/typeurl/blob/v2.2.3/LICENSE,Apache-2.0
github.com/coreos/go-systemd/v22/dbus,https://github.com/coreos/go-systemd/blob/v22.7.0/LICENSE,Apache-2.0
github.com/cyphar/filepath-securejoin,https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/COPYING.md,MPL-2.0
github.com/cyphar/filepath-securejoin,https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/COPYING.md,BSD-3-Clause
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew/blob/d8f796af33cc/LICENSE,ISC
github.com/distribution/reference,https://github.com/distribution/reference/blob/v0.6.0/LICENSE,Apache-2.0
github.com/docker/cli/cli/config,https://github.com/docker/cli/blob/v29.6.2/LICENSE,Apache-2.0
github.com/docker/docker-credential-helpers,https://github.com/docker/docker-credential-helpers/blob/v0.9.3/LICENSE,MIT
github.com/docker/go-connections,https://github.com/docker/go-connections/blob/v0.7.0/LICENSE,Apache-2.0
github.com/docker/go-events,https://github.com/docker/go-events/blob/e31b211e4f1c/LICENSE,Apache-2.0
github.com/docker/go-units,https://github.com/docker/go-units/blob/v0.5.0/LICENSE,Apache-2.0
github.com/emicklei/go-restful/v3,https://github.com/emicklei/go-restful/blob/v3.13.0/LICENSE,MIT
github.com/felixge/httpsnoop,https://github.com/felixge/httpsnoop/blob/v1.0.4/LICENSE.txt,MIT
github.com/florianl/go-tc,https://github.com/florianl/go-tc/blob/v0.4.8/LICENSE,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.10.1/LICENSE,BSD-3-Clause
github.com/fxamacker/cbor/v2,https://github.com/fxamacker/cbor/blob/v2.9.0/LICENSE,MIT
github.com/go-asn1-ber/asn1-ber,https://github.com/go-asn1-ber/asn1-ber/blob/29230038a667/LICENSE,MIT
github.com/go-errors/errors,https://github.com/go-errors/errors/blob/v1.4.2/LICENSE.MIT,MIT
github.com/go-ldap/ldap/v3,https://github.com/go-ldap/ldap/blob/v3.4.12/v3/LICENSE,MIT
github.com/go-logr/logr,https://github.com/go-logr/logr/blob/v1.4.3/LICENSE,Apache-2.0
github.com/go-logr/stdr,https://github.com/go-logr/stdr/blob/v1.2.2/LICENSE,Apache-2.0
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/v0.21.0/LICENSE,Apache-2.0
